Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,5.9819222754507235,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,5.9819222754507235,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,5.822809611765967,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,5.989243305312595,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,3.9601806801182837,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,5.807349203052331,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,4.221391880356516,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,5.996614475393686,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,4.054538407456136,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,5.863207799314609,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,3.8593248936336306,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,5.8074125570151995,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,4.0341878111941245,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,5.871582287549407,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,3.881806224159773,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,5.791359850621497,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,3.718004572410416,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,5.74098859791883,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,3.7628962110147492,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,5.805399637069318,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,3.696947231453386,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,5.612315354614605,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,3.786721376482468,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,5.641705516381734,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,3.527172426821843,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,5.65963254965828,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,5.477024886272453,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,3.5331686523652603,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,5.534489727726628,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,5.311418082553158,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,5.410947848714352,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,1.827522785555911,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,1.7635542977506682,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,2.1635843565564916,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,2.218603528118492,44
